rank,state,electors
1,California,55
2,Texas,38
3,Florida,29
3,New York,29
5,Illinois,20
5,Pennsylvania,20
7,Ohio,18
8,Georgia,16
8,Michigan,16
10,North Carolina,15
11,New Jersey,14
12,Virginia,13
13,Washington,12
14,Arizona,11
14,Indiana,11
14,Massachusetts,11
14,Tennessee,11
18,Maryland,10
18,Minnesota,10
18,Missouri,10
18,Wisconsin,10
22,Alabama,9
22,Colorado,9
22,South Carolina,9
25,Kentucky,8
25,Louisiana,8
27,Connecticut,7
27,Oklahoma,7
27,Oregon,7
30,Arkansas,6
30,Iowa,6
30,Kansas,6
30,Mississippi,6
30,Nevada,6
30,Utah,6
36,Nebraska,5
36,New Mexico,5
36,West Virginia,5
39,Hawaii,4
39,Idaho,4
39,Maine,4
39,New Hampshire,4
39,Rhode Island,4
44,Alaska,3
44,Delaware,3
44,Montana,3
44,North Dakota,3
44,South Dakota,3
44,Vermont,3
44,Wyoming,3
